Plot__name,Plot__url,Plot__Price,Plot__Beds,Property__Age,Build__Area,Plot__Area,Plot__Location,Plot__DESC,Plot__Area_Cents,Price_per_sqft,Price_per_cent,Total_Area,Build_to_Plot_Ratio,House_Size_Category,Standardized_Location_Name
"3 Bedroom House for sale in Puliyarakonam, Trivandrum",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-puliyarakonam-trivandrum-1525-sq-ft-spid-I76954661,4100000.0,3.0,7.595302128042394,1525.0,1525.0,76,"2 floors, car parking , 3 bedrooms, 3 bathrooms, hall, separate dining area, north facing, common area on 1st floor, balcony , work area, funished kitchen, tarred road till entrance of the property entrance lane ( 10meters private lane with car access) , near to myladi - Puliyarakonam",3.500918273645546,2688.5245901639346,1171121.31147541,3050.0,1.0,Medium,puliyarakonam
"2 Bedroom House for sale in Kazhakootam, Trivandrum",https://www.99acres.com/2-bhk-bedroom-independent-house-villa-for-sale-in-kazhakootam-trivandrum-1000-sq-ft-spid-I76929399,10000000.0,2.0,0.4201412507032057,1000.0,2100.0,32,Individual house for sale near kazhakootam,4.820936639118457,4761.9047619047615,2074285.7142857143,3100.0,0.47619047619047616,Small,kazhakkoottam
"5 Bedroom House for sale in Kovalam, Trivandrum",https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-kovalam-trivandrum-1132560-sq-ft-r19-spid-D28415859,15000000.0,5.0,7.202902899888893,2600.0,3049.0,37,"Interested to sell independent house/villa.It is more than 10 years old property constructionplaced at kovalam.2600.00 sq.Ft.(Builtup area) , 7.00 cents(Plot area) is the area of the propertynice unfurnished enhancing decorit has spacious 5 bedrooms and 4 bathrooms. .Want to sell it for rs 15000000 it's near to kovalam beach, vizhinjam mother port",6.999540863177226,4919.645785503444,2142997.7041653004,5649.0,0.8527386028205969,Large,kovalam
"2 Bedroom House for sale in Alamcode, Trivandrum",https://www.99acres.com/2-bhk-bedroom-independent-house-villa-for-sale-in-alamcode-trivandrum-970-sq-ft-spid-B76869665,4500000.0,2.0,0.563534406413674,970.0,1742.0,1,2 bhk house for sale In attingal total 4 cent plot,3.9990817263544534,2583.2376578645235,1125258.3237657866,2712.0,0.5568312284730195,Small,alamcode
"3 Bedroom House for sale in Malayinkeezh, Trivandrum",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-malayinkeezh-trivandrum-2178-sq-ft-spid-T76866961,4800000.0,3.0,0.4401584805953098,1550.0,2178.0,42,"Area-1550 sq feet, 5 cent, 3 bhk, drawing dining hall, 2 balconies, 1 utility room, one open terrace, with compound wall & gate, front garden tiled & concreted, well & govt tap water.Location falls in malayinkeezhu. This 3 bhk unit is available in malayinkeezhu and offers a premium lifestyle at the best price. It is a desired purchase for any homebuyer in malayinkeezhu. The price of this independent house is rs 48.0 l. It is a good, spacious independent house unit with carpet area of 1450 square feet. The built-Up area is 1550 square feet. There are 3 bedrooms and 3 bathroom. The property is east-Facing. This property is at a walking distance from malayinkeezhu community health centre, matha ayurveda eye hospital and panchakarma centre moongode, and abhaya hospital mitra psychiatry and deaddiction centre. The brokerage amount to be paid is rs 0",5.0,2203.8567493112946,960000.0,3728.0,0.711662075298439,Medium,malayinkeezh
"4 Bedroom House for sale in Mangalapuram, Trivandrum",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-i-cloud-mangalapuram-trivandrum-2626-sq-ft-r3-spid-V51494320,14900000.0,4.0,3.702344545878181,2626.0,2800.0,43,"My premium villa comes with all amenities and is fully secured. Community has retd officials, doctors and is ready for immediate possession.",6.4279155188246095,5321.428571428572,2318014.285714286,5426.0,0.9378571428571428,Medium,mangalapuram
"4 Bedroom House for sale in Chenkottukonam, Trivandrum",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-chenkottukonam-trivandrum-1634-sq-ft-spid-N76838385,6800000.0,4.0,8.320706049540059,1633.0,1633.0,10,"House for sale in gated community near technopark, chengottukonam4 bed room house, can be used as two 2bhkground and upstairs, each floor with 2 bedrooms with attached bathrooms 1 kitchen 1 spacious hall work area first floor for sale..Land area about 4 centsplinth area 1700 sqft.Carpet area 1400 sqftredbrick quality construction house constructed for personal use.Space available for 2 cars parking gardening.Bore well drinking quality available.Covered terrace for gardening.",3.748852157943067,4164.115125535824,1813888.548683405,3266.0,1.0,Medium,chenkottukonam
"3 Bedroom House for sale in Ooruttambalam, Trivandrum",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-ooruttambalam-trivandrum-1006-sq-ft-spid-E76801357,2900000.0,3.0,0.0,1006.0,2069.0,57,Under construction,4.749770431588614,1401.643305944901,610555.8240695988,3075.0,0.48622522957950703,Medium,ooruttambalam
"3 Bedroom House for sale in Pravachambalam, Trivandrum",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-pravachambalam-trivandrum-1742-sq-ft-spid-R76784179,6200000.0,3.0,0.6164663600660201,1600.0,2090.0,74,"Located 200 mtrs from main road to trinity college Area : 4.8 cents 1600 sqft 3 car parking space Vathu based house Front doors and windows : Jack wood Premium quality laminated plywood used for Tv units,wardrobes,kitchen cupboards etc Ground floor : 1 bed room First floor : 2 bed rooms Wardrobes in 2 bedrooms Bath room fittings : Cera Electrical fittings : Vguard,legrand Water proof kitchen cupboards Pravachambalam : 2 km Trivandrum : 9 km Price : 62 lakhs(Nego)",4.797979797979798,2966.507177033493,1292210.5263157897,3690.0,0.7655502392344498,Medium,pravachambalam
"3 Bedroom House for sale in Pravachambalam, Trivandrum",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-pravachambalam-trivandrum-1500-sq-ft-r1-spid-E74118035,4800000.0,3.0,0.0,1500.0,2200.0,60,For sale: Charming home near naruvamood junction,5.05050505050505,2181.818181818182,950400.0000000001,3700.0,0.6818181818181818,Medium,pravachambalam
"3 Bedroom House for sale in Karikkakam, Trivandrum",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-karikkakam-trivandrum-1500-sq-ft-r11-spid-V41368951,9000000.0,3.0,2.3195623990388885,1500.0,1524.0,26,"2kms away from chackai bypass jn ,lulu mall,airport,railway station,hospitals",3.49862258953168,5905.511811023622,2572440.94488189,3024.0,0.984251968503937,Medium,karikkakam
"3 Bedroom House for sale in Karikkakam, Trivandrum",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-karikkakam-trivandrum-1525-sq-ft-r1-spid-M68183586,8150000.0,3.0,8.255531555045138,1420.0,1420.0,26,"Villa in vivekanda nagar, karikakam which is 2.5 km from lulu mall and 4 km from tvm international airport for sale. Kims hospital is about 2 km. This is the first house in the project and has a total land of 3.26 cents. The interiors are modern. Construction completed in first half of 2016. Price is negotiable. The furnished items may be moved on purchase and basic ones like lights and fans will be made available. Ac can be kept if additional payment done. If any of the items are required, it has to be separately discussed. If brokers are involved, please excuse your charges from the sale price.",3.2598714416896235,5739.43661971831,2500098.591549296,2840.0,1.0,Medium,karikkakam
